#,name,type,longitude,latitude,source,shapefile_name,notes
1,Songliao Basin,onshore,124.2489,45.5424,shapefile,Songliao Basin,
2,Turpan-Hami Basin,onshore,91.8474,42.7741,shapefile,Turpan-Hami Basin,
3,Subei Basin,onshore,120.2968,33.2802,shapefile,Northern Jiangsu-Southern South Yellow Sea Basin,
4,Bohai Bay Basin (onshore),onshore,117.027,38.1531,shapefile+split,Bohai Bay Basin (split by Natural Earth land mask),Bohai Bay polygon intersected with Natural Earth 10m land mask
5,Qaidam Basin,onshore,94.0675,37.4565,shapefile,Qaidam Basin,
6,Nanxiang Basin,onshore,112.3891,32.6284,shapefile,Nanyang-Xiangfang Basin,
7,Sanjiang Basin,onshore,132.0,47.0,literature,—,
8,Hailar Basin,onshore,118.5403,48.9011,shapefile,Hailar Basin,
9,Jianghan Basin,onshore,112.9206,30.4742,shapefile,Jianghan Basin,
10,Tarim Basin,onshore,82.2819,39.3991,shapefile,Tarim Basin,
11,Ordos Basin,onshore,108.7178,37.5548,shapefile,Ordos Basin,
12,Yingen-Ejina Basin,onshore,101.5,41.5,literature,—,
13,Hehuai Basin,onshore,115.0,34.0,literature,—,
14,Qinshui Basin,onshore,112.4531,36.7143,shapefile,Quinshi-Linfen Basin,
15,Erlian Basin,onshore,115.3402,44.1892,shapefile,Bayanhuxu-Eren Basin,
16,Junggar Basin,onshore,87.0998,44.9779,shapefile,Junggar Basin,
17,Sichuan Basin,onshore,105.9742,30.357,shapefile,Sichuan Basin,
18,Bohai Bay Basin (offshore),offshore,119.7405,39.0081,shapefile+split,Bohai Bay Basin (split by Natural Earth land mask),Bohai Bay polygon intersected with Natural Earth 10m land mask
19,North Yellow Sea Basin,offshore,123.3029,38.3492,shapefile,North Yellow Sea Basin,
20,South Yellow Sea Basin,offshore,123.0614,35.6424,shapefile,Northern South Yellow Sea Basin,
21,East China Sea Basin,offshore,124.815,29.2425,shapefile,East China Sea Shelf Basin,
22,Pearl River Mouth Basin,offshore,114.5827,20.6148,shapefile,Zhujiangkou (Pearle R. Mouth) Basin,
23,Beibu Gulf Basin,offshore,109.1529,20.3578,shapefile,Beibu Gulf Basin,
24,Qiongdongnan Basin,offshore,110.6,17.9,literature,—,
