Source,Destination,CO2 Flow
Songliao,Erlian,0.6336497356897559
Qaidam,Tarim,0.49842379758292554
TurpanHami,Qaidam,0.46863206983996564
Erlian,BohaiOffshore,0.448970003360148
Songliao,Hailar,0.3464069213725416
TurpanHami,Junggar,0.3332109112901376
Ordos,Qinshui,0.331036202944356
TurpanHami,YingenEjina,0.2893088098238664
Nanxiang,Hehuai,0.282495894714348
Guangdong,PearlRiverMouth,0.2816683225690128
Guangxi,BeibuGulf,0.28142646501698876
Jiangsu,Subei,0.2801691426072984
Yunnan,BeibuGulf,0.2740165275971736
Anhui,Hehuai,0.2710450353616824
Fujian,PearlRiverMouth,0.27037148717862963
Qinghai,Qaidam,0.24743246915839923
Zhejiang,EastChinaSea,0.246949376056248
Nanxiang,Qinshui,0.2389244133096024
Qaidam,YingenEjina,0.22099148421110637
Nanxiang,Jianghan,0.206955201393324
Xinjiang,TurpanHami,0.19568664409700878
Shanghai,EastChinaSea,0.1951384442945448
Heilongjiang,Sanjiang,0.1858023638361096
Hebei,BohaiOnshore,0.18431374537662
Beijing,BohaiOnshore,0.1841037311756784
Henan,Hehuai,0.1807912280814984
Jilin,NorthYellowSea,0.1769269097533704
Innermongolia,Erlian,0.1723989386496216
Jilin,Sanjiang,0.1721211348851256
Tianjin,BohaiOnshore,0.1714664356405248
Hubei,Hehuai,0.1710159023948376
Sichuan,SichuanBasin,0.1681671313598856
Hunan,Jianghan,0.166349188199544
Xinjiang,Tarim,0.1663379464738896
Tibet,Tarim,0.16573030930632002
Gansu,SichuanBasin,0.16401936831402242
Chongqing,SichuanBasin,0.1635357152596656
Xinjiang,Qaidam,0.15682006197167758
Shanghai,Subei,0.1514119395074496
Tibet,Qaidam,0.14979376876181041
Shandong,Subei,0.1497650969114472
Beijing,Erlian,0.1485913551602088
Shandong,Hehuai,0.1477871402849136
Shandong,BohaiOnshore,0.1454742689708376
Fujian,EastChinaSea,0.1397774245823232
Shanxi,Ordos,0.13851762006024
Chongqing,Nanxiang,0.1321331281455384
Ningxia,YingenEjina,0.12747154952175122
Liaoning,NorthYellowSea,0.1272664200563664
Shaanxi,Nanxiang,0.1261782450626352
Liaoning,Songliao,0.12552965428412638
Shaanxi,SichuanBasin,0.1241995551563424
Hubei,Nanxiang,0.1226137567039944
Ningxia,Ordos,0.1210258917154944
Tianjin,Erlian,0.11849755709170082
Henan,Nanxiang,0.1168272903911928
Shanxi,Qinshui,0.1146073979679096
Hainan,Qiongdongnan,0.1120448120209008
Heilongjiang,Songliao,0.11175077016030718
Shandong,NorthYellowSea,0.11164624078187041
Hainan,PearlRiverMouth,0.11131450016007119
Tianjin,BohaiOffshore,0.11091374218735439
Hebei,Qinshui,0.1081655511263136
Liaoning,BohaiOffshore,0.1060572608949168
Liaoning,Erlian,0.1051283960468592
Jilin,Songliao,0.1000870684033584
Innermongolia,Ordos,0.09671883730277281
Qinghai,YingenEjina,0.09224945690793121
Heilongjiang,Hailar,0.0919272797211672
Shandong,BohaiOffshore,0.091176068589996
Chongqing,Jianghan,0.09105744717972
Hubei,Jianghan,0.0887881925852592
Hainan,BeibuGulf,0.0877602585494952
Henan,Qinshui,0.0876870171338304
Shandong,SouthYellowSea,0.083616894398532
Shaanxi,Ordos,0.081456459713676
Shaanxi,Qinshui,0.07418719500604559
Innermongolia,YingenEjina,0.0706636180897992
Xinjiang,Junggar,0.0697608029618304
Shanghai,SouthYellowSea,0.0598082049743256
