type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,Total
Steelmaking,422972.95328398806,7.574955573594145e10,0.0,0.0,0.0,0.0,7.574997870889473e10
AluminumSmelting,956967.1800114203,4.089574039553696e10,2.9828481547573116e7,3.753755934518531e6,0.0,0.0,4.093027960019906e10
OneWayTransmissionLink{Cement},0.0,0.0,6.852836095187236e6,0.0,0.0,0.0,6.852836095187236e6
UpstreamEmissions{IronOre},0.0,0.0,199.47408139712056,0.0,0.0,0.0,199.47408139712056
OneWayTransmissionLink{CrudeSteel},0.0,0.0,9.195942695502602e7,0.0,0.0,0.0,9.195942695502602e7
OneWayTransmissionLink{DRI},0.0,0.0,1.2993984081828836e6,0.0,0.0,0.0,1.2993984081828836e6
DRIMaking,419806.6501980853,57782.14090274547,0.0,0.0,0.0,0.0,477588.7911008308
OneWayTransmissionLink{IronOre},0.0,0.0,5.410949259064698e7,0.0,0.0,0.0,5.410949259064698e7
OneWayTransmissionLink{SteelScrap},0.0,0.0,1.0061020883052677e7,0.0,0.0,0.0,1.0061020883052677e7
CementPlant{Coal},247162.89871641804,4.217961610111499e7,1.7094465510461122e8,0.0,0.0,0.0,2.1337143410444263e8
CO2Injection,41903.16418029269,0.0,183.47572713679486,0.0,0.0,0.0,42086.63990742948
OneWayTransmissionLink{CO2Captured},14.782163147557084,0.0,1141.7236260636917,0.0,0.0,0.0,1156.5057892112488
HydroRes,0.0,5.600396881444847e10,0.0,0.0,0.0,0.0,5.600396881444847e10
Battery,2.0629070902617918e6,2.8711297382092905e9,0.0,0.0,0.0,0.0,2.8731926452995524e9
ThermalPower{Coal},1.7375349745772367e6,4.9493779245682045e10,4.9734814643436116e8,110630.7332430303,0.0,0.0,4.9992975557824234e10
ThermalPower{NaturalGas},7.361829495270624e6,4.2061720590114636e9,3.0440847826237153e7,55067.767521249465,0.0,0.0,4.244029804100493e9
ThermalPower{Uranium},171497.01315771617,3.530172677627872e9,4.083254243223885e6,12509.19120855424,0.0,0.0,3.534439938075462e9
TransmissionLink{Electricity},3.4167691241798796e7,0.0,0.0,0.0,0.0,0.0,3.4167691241798796e7
VRE,1.0341906926580826e6,5.760947366770256e6,0.0,0.0,0.0,0.0,6.795138059428339e6
Node{Electricity},0.0,0.0,0.0,0.0,6.167366966925641e6,0.0,6.167366966925641e6
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,271.135350695268,271.135350695268
Node{SteelScrap},0.0,0.0,0.0,0.0,0.0,2.3700088889533788e7,2.3700088889533788e7
Node{IronOre},0.0,0.0,0.0,0.0,0.0,1.7777306265945945e9,1.7777306265945945e9
Total,4.86244781362776e7,2.327985170120663e11,8.969290847615371e8,3.9319636264913655e6,6.167366966925641e6,1.801430986619479e9,2.3555560089217703e11
