type,Investment,FixedOM,Fuel,VariableOM,Startup,NonServedDemand,Total
Steelmaking,442006.7361817684,8.627557746412383e10,2.6993421069236808e7,0.0,0.0,0.0,8.630301289192924e10
AluminumSmelting,1.089945614433817e6,4.65785387672412e10,0.0,3.397339357825143e7,4.2753710931179095e6,0.0,4.661787747752701e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,7.8050938468903005e6,0.0,0.0,7.8050938468903005e6
UpstreamEmissions{IronOre},0.0,0.0,0.0,227.1926402004834,0.0,0.0,227.1926402004834
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,1.047379431698808e8,0.0,0.0,1.047379431698808e8
OneWayTransmissionLink{DRI},0.0,0.0,0.0,1.4799604688473358e6,0.0,0.0,1.4799604688473358e6
DRIMaking,438697.94945700024,65811.44305157126,297.4934873397838,0.0,0.0,0.0,504806.88599591126
OneWayTransmissionLink{IronOre},0.0,0.0,2.0247608701463907e9,6.1628450149890214e7,0.0,0.0,2.0863893202962809e9
OneWayTransmissionLink{SteelScrap},0.0,0.0,5.277659596944707e6,1.1459082210196014e7,0.0,0.0,1.6736741807140723e7
CementPlant{Coal},258285.2291586573,4.8040819526709035e7,0.0,1.9469881625402135e8,0.0,0.0,2.4299792100988904e8
CO2Injection,47725.95234526766,0.0,0.0,208.97118346881942,0.0,0.0,47934.92352873648
OneWayTransmissionLink{CO2Captured},16.836265894022368,0.0,0.0,1300.3754832101401,0.0,0.0,1317.2117491041624
HydroRes,0.0,6.3786179374999985e10,0.0,0.0,0.0,0.0,6.3786179374999985e10
Battery,2.349564941180568e6,3.2700967514835615e9,0.0,0.0,0.0,0.0,3.272446316424742e9
ThermalPower{Coal},1.9789797027764653e6,5.637134559822926e10,0.0,5.66458748403943e8,126003.78052505353,0.0,5.693990933011651e10
ThermalPower{NaturalGas},8.384816052400019e6,4.790654146800408e9,0.0,3.4670853171222046e7,62719.885237580034,0.0,4.833772535909267e9
ThermalPower{Uranium},195327.92898657263,4.020719109853556e9,0.0,4.650655892887608e6,14247.44587135689,0.0,4.0255793411213017e9
TransmissionLink{Electricity},3.891557203025801e7,0.0,0.0,0.0,0.0,0.0,3.891557203025801e7
VRE,1.177899967204201e6,6.561478228877567e6,0.0,0.0,0.0,0.0,7.739378196081768e6
Node{Electricity},0.0,0.0,0.0,0.0,0.0,7.024373164108276e6,7.024373164108276e6
Total,5.5278838940648235e7,2.6514777932193045e11,2.0570322483060596e9,1.021564733685337e9,4.4783422047519e6,7.024373164108276e6,2.6829315785823132e11
