Origin_Province,Destination_Province,Straight_Line_Distance_km,Actual_Path_Distance_km,LCP_Cost_Value,Path_Length_Cells
Gansu,Qinghai,194.47051892130693,232.39097379200916,456.00525919142314,352
Qinghai,Gansu,194.47051892130693,232.39060554147312,456.0052591914232,352
Jilin,Heilongjiang,233.53826904073708,251.93002666202563,565.1859977198473,246
Heilongjiang,Jilin,233.53826904073708,251.92418822183004,565.1859977198474,246
Tianjin,Beijing,102.7973361486512,138.90923701315964,592.1264381779229,174
Beijing,Tianjin,102.7973361486512,138.9092370131596,592.1264381779231,174
Ningxia,Gansu,343.1090375530314,401.9870845503531,603.3986799020015,463
Inner Mongolia,Shanxi,334.52899155959443,353.69508551420313,622.1459910314593,333
Shanxi,Inner Mongolia,334.52899155959443,353.695085514203,622.1459910314594,333
Jiangsu,Anhui,144.52421397488814,180.94521643571778,698.6034728577927,255
Anhui,Jiangsu,144.52421397488814,180.94624339031208,698.6034728577928,255
Hebei,Shanxi,173.4249907391186,245.01532597918649,703.7451793194834,347
Zhejiang,Jiangsu,236.94895363119628,280.856706380779,768.73566009859,302
Hubei,Hunan,294.4097745750181,313.2286738285635,829.4383613886358,326
Hunan,Hubei,294.4097745750181,313.22906845088744,829.4383613886359,326
Liaoning,Jilin,278.13044022025167,326.0869285548887,832.9109398591943,367
Guizhou,Chongqing,330.01270070375625,345.3819355808345,840.8977982479227,378
Chongqing,Guizhou,330.01270070375625,345.3819355808345,840.8977982479229,378
Jiangxi,Hubei,260.09669123118704,282.57143487609653,854.1545784061357,302
Shanghai,Zhejiang,164.87421005174875,205.001888755845,866.5528374351172,256
Shandong,Tianjin,300.10562005664815,316.1872684967249,877.5718635266919,306
Sichuan,Chongqing,264.1607887974761,305.6841444508634,895.8756481076164,423
Henan,Shanxi,360.5084929405637,395.2649401352526,942.0049808123381,392
Guangxi,Guizhou,452.6206245078825,485.92810439371067,1097.9079533572567,513
Shaanxi,Gansu,506.3226352741695,645.9599610344053,1254.8697326542224,887
Yunnan,Guizhou,435.7603029457206,517.7201213686708,1291.804066324249,654
Fujian,Jiangxi,446.4316489821838,508.41101264114906,1510.8474562060821,607
Guangdong,Guangxi,502.60222673196364,590.0512627473868,1682.2504942605433,796
Xinjiang,Tibet,1603.388566462187,1676.35974827698,1992.9846057345667,1596
Tibet,Sichuan,1243.823280398855,1839.2739774196525,3631.4014198923114,2363
Hainan,Guangdong,457.1171999012133,10742.964012687156,5000175362.541289,13666
