Storage Site,CO2 Stored
Erlian,1.1782659826381463
Hehuai,1.05313520083728
Qaidam,1.0226783697318529
Qinshui,0.9546077774880576
Tarim,0.8304920533631351
YingenEjina,0.8006849185544545
BohaiOffshore,0.7571170750324152
BohaiOnshore,0.6853581811636608
PearlRiverMouth,0.6633543099077136
BeibuGulf,0.6432032511636576
SichuanBasin,0.619921770089916
EastChinaSea,0.581865244933116
Subei,0.5813461790261952
Jianghan,0.5531500293578472
Nanxiang,0.4977524203033608
Hailar,0.4383342010937088
Ordos,0.43771880879218317
NorthYellowSea,0.4158395705916072
Junggar,0.402971714251968
Sanjiang,0.3579234987212352
Songliao,0.337367492847792
TurpanHami,0.19568664409700878
SouthYellowSea,0.1434250993728576
Qiongdongnan,0.1120448120209008
